metric,Mean,Min,Max
sse,19.10006996924006,18.004164219700133,20.08930040934857
quantization_error,0.22919452036425378,0.2098335719332885,0.26519450494661573
accuracy,0.7487562189054727,0.608955223880597,0.817910447761194
NMI,0.5773924059643645,0.38053315370456553,0.6529472619522033
precision_score,0.7133333333333332,0.5432835820895522,0.817910447761194
recall_score,0.7133333333333332,0.5432835820895522,0.817910447761194
v_measure_score,0.5773924059643645,0.3805331537045655,0.6529472619522033
completeness_score,0.620690849704777,0.48901396538688324,0.7386451919759915
homogeneity_score,0.5427317960064196,0.3114437708845339,0.6396312777463633
adjusted_rand_score,0.5874641838808089,0.3423868155580819,0.7041900747594264
adjusted_mutual_info_score,0.5641006821684942,0.3647760016202374,0.6424663421858685
fowlkes_mallows_score,0.7147678012630863,0.5895818193095514,0.7855248331133192
cohen_kappa_score,0.6041754699670048,0.36620912815427575,0.7493222438940615
