metric,Mean,Min,Max
sse,291.82458149712005,287.40499610670975,296.6592839947284
quantization_error,1.5819645100317785,1.295645413979681,2.2222967555795377
accuracy,0.5471153846153846,0.5336538461538461,0.5673076923076923
NMI,0.007522293247252792,0.0012417211321060684,0.014530079553647449
precision_score,0.5166666666666667,0.4423076923076923,0.5673076923076923
recall_score,0.5166666666666667,0.4423076923076923,0.5673076923076923
v_measure_score,0.007522293247252664,0.001241721132106497,0.014530079553647145
completeness_score,0.007544741102493815,0.0012534285266558765,0.01454570000486744
homogeneity_score,0.007500361685101983,0.0012302304148086882,0.014514492615664482
adjusted_rand_score,0.004109619293096981,-0.00398772663022134,0.013378667257912681
adjusted_mutual_info_score,0.004015098849256379,-0.00230512017179247,0.011059998860820616
fowlkes_mallows_score,0.5049518644435078,0.49895540726787324,0.5163242550171531
cohen_kappa_score,0.030203414910473448,-0.12484848484848476,0.13962680393418514
