metric,Mean,Min,Max
sse,91.66607402124261,86.53999999999999,98.28864107028892
quantization_error,0.7310445845017407,0.6507756706979737,1.2271655112770452
accuracy,0.9028888888888889,0.88,0.9266666666666666
NMI,0.7691710184543686,0.7303731197671406,0.8138214462814856
precision_score,0.9028888888888889,0.88,0.9266666666666666
recall_score,0.9028888888888889,0.88,0.9266666666666666
v_measure_score,0.7691710184543686,0.7303731197671405,0.8138214462814856
completeness_score,0.774145024034248,0.7325650751299805,0.8224430337722662
homogeneity_score,0.7642990739299954,0.7281425116063387,0.805378742042282
adjusted_rand_score,0.7504589057552309,0.703743816882739,0.8022085453675192
adjusted_mutual_info_score,0.7662617318529275,0.7269875441315987,0.8114641177737998
fowlkes_mallows_score,0.8338310591996135,0.803190728907463,0.8677038502405696
cohen_kappa_score,0.8543333333333335,0.8200000000000001,0.89
