metric,Mean,Min,Max
sse,186.428917963833,185.40651249105767,188.74537562939844
quantization_error,0.24542750416847178,0.20415620558737094,0.34741427880623643
accuracy,0.8305826924409341,0.8189565578881729,0.8403658283101226
NMI,0.34495291985678594,0.3178874778466613,0.36882645164621214
precision_score,0.06972909305064781,0.05487424651839534,0.08168779879442943
recall_score,0.06972909305064781,0.05487424651839534,0.08168779879442943
v_measure_score,0.3449529198567854,0.3178874778466608,0.3688264516462109
completeness_score,0.34618998437901355,0.31885087614814817,0.3704872739946906
homogeneity_score,0.3437266925657992,0.31692988376569436,0.367180453132115
adjusted_rand_score,0.4371289690420095,0.40679717033659657,0.463268142866029
adjusted_mutual_info_score,0.3448541493719239,0.3177846787476881,0.36873119063392656
fowlkes_mallows_score,0.720512940146651,0.7052441871461216,0.7338433088304979
cohen_kappa_score,-0.2140501117881204,-0.2213594263640397,-0.20685519592449797
