metric,Mean,Min,Max
sse,22318.44053610309,22236.31348283438,22474.83471546748
quantization_error,9.139611983445073,6.863089338358867,18.616599170854556
accuracy,0.7795352993744414,0.7587131367292225,0.7989276139410187
NMI,0.361647812735249,0.3363840921318563,0.3867570102085517
precision_score,0.21778373547810542,0.19839142091152814,0.2386058981233244
recall_score,0.21778373547810542,0.19839142091152814,0.2386058981233244
v_measure_score,0.3616478127352492,0.3363840921318562,0.386757010208552
completeness_score,0.33064885504024716,0.3072643065687539,0.35417821966652324
homogeneity_score,0.39906088179564697,0.3716011533714679,0.4259364193901774
adjusted_rand_score,0.3110744590257077,0.2662008154816739,0.354943862507434
adjusted_mutual_info_score,0.3602841448836099,0.3349680292349699,0.3854443189301895
fowlkes_mallows_score,0.6944880549293516,0.6737289113611387,0.7150918497600346
cohen_kappa_score,-0.20634307554272094,-0.20950232623713516,-0.2028295995185594
