metric,Mean,Min,Max
sse,17315.33810977413,15704.379532717217,18687.99302304778
quantization_error,7.885050108693282,6.812615948680239,8.937988700248775
accuracy,0.36548269581056464,0.31693989071038253,0.42349726775956287
NMI,0.10530308056180163,0.05076946086991096,0.19252723530665064
precision_score,0.096448087431694,0.060109289617486336,0.15027322404371585
recall_score,0.096448087431694,0.060109289617486336,0.15027322404371585
v_measure_score,0.1053030805618014,0.050769460869910715,0.19252723530665045
completeness_score,0.12416576893885073,0.06035436398986779,0.24281394923959662
homogeneity_score,0.09248943473893043,0.04381170474806844,0.1594957098867738
adjusted_rand_score,0.05200311935324535,0.017933321510697618,0.1140439335617518
adjusted_mutual_info_score,0.09169991585721178,0.0365881841770507,0.17987187703752044
fowlkes_mallows_score,0.2877235297093506,0.23266967754076276,0.4129877173795167
cohen_kappa_score,0.007868517356827864,-0.04577048475511436,0.03205068242697395
