metric,Mean,Min,Max
sse,15020.661593243822,13092.099581216791,16561.35971122296
quantization_error,4.481373460064401,3.49934992036778,5.369384196263318
accuracy,0.8688663282571911,0.7829949238578681,0.934010152284264
NMI,0.8121347010231063,0.74052055820894,0.8938533368296712
precision_score,0.0217005076142132,0.0,0.17766497461928935
recall_score,0.0217005076142132,0.0,0.17766497461928935
v_measure_score,0.8121347010231063,0.7405205582089399,0.8938533368296713
completeness_score,0.7956701617754496,0.7234579989676635,0.8941484584120477
homogeneity_score,0.8303041908701986,0.7156282610649828,0.9074668424508744
adjusted_rand_score,0.7019871248975595,0.5745886012549339,0.8800623163729081
adjusted_mutual_info_score,0.8098863174666139,0.737568380495289,0.8926062286867089
fowlkes_mallows_score,0.7643783726276305,0.6604407798898441,0.9057079385755084
cohen_kappa_score,-0.09718646468030663,-0.1311444352147364,0.0520353548573943
