metric,Mean,Min,Max
sse,27072.7308400774,24540.114251872772,28866.321044983633
quantization_error,5.111916677385888,4.088475428832475,7.8589726661529085
accuracy,0.45265897261823945,0.4351663272233537,0.4623217922606925
NMI,0.027817626485242778,0.011940588351821673,0.03504240916367522
precision_score,0.16037565059968317,0.0923285811269518,0.19416157501697218
recall_score,0.16037565059968317,0.0923285811269518,0.19416157501697218
v_measure_score,0.027817626485242896,0.011940588351822379,0.035042409163674994
completeness_score,0.028676213945616015,0.01559430705404357,0.03484556702663025
homogeneity_score,0.027344502408582695,0.00967398960922779,0.0352414878521103
adjusted_rand_score,0.026661643821125472,0.021369398684243614,0.03240652358609147
adjusted_mutual_info_score,0.026694825971591705,0.011162616890967354,0.033817090852835435
fowlkes_mallows_score,0.3854701146996595,0.3634159639907654,0.4526317488133159
cohen_kappa_score,-0.059043353857214806,-0.09034086143232467,0.019862038860115283
