metric,Mean,Min,Max
sse,19752631.975910626,17471478.062178284,22069380.88351375
quantization_error,107.40003333105905,71.41435722940894,148.94557935337295
accuracy,0.4740115440115441,0.34025974025974026,0.567965367965368
NMI,0.4001974351155024,0.283722376691474,0.5207214768037433
precision_score,0.05581529581529581,0.0,0.13073593073593073
recall_score,0.05581529581529581,0.0,0.13073593073593073
v_measure_score,0.4001974351155023,0.2837223766914739,0.5207214768037431
completeness_score,0.4513207506628708,0.31868706093442495,0.6916522398470768
homogeneity_score,0.36344575863824186,0.25076099487313924,0.4881462277857859
adjusted_rand_score,0.26356191921951383,0.12354097040626405,0.3543657589171272
adjusted_mutual_info_score,0.39828527240970113,0.28158537929705246,0.5190007463644313
fowlkes_mallows_score,0.4017686877590107,0.3104975802728073,0.46695297848137396
cohen_kappa_score,-0.07094242637415346,-0.14424992883575283,0.02055605881123257
