metric,Mean,Min,Max
sse,78314966.30969167,78057338.20498747,79045870.29278749
quantization_error,406.3719638904612,305.24269424766885,1035.1239576060411
accuracy,0.8526654950205039,0.843585237258348,0.8558875219683656
NMI,0.4614362578187931,0.4407818464833782,0.46886828888875587
precision_score,0.8526654950205039,0.843585237258348,0.8558875219683656
recall_score,0.8526654950205039,0.843585237258348,0.8558875219683656
v_measure_score,0.4614362578187926,0.44078184648337876,0.46886828888875476
completeness_score,0.5140059404600126,0.4967930443081976,0.5202210008460559
homogeneity_score,0.4186283325166746,0.39612097502243077,0.4267430867566887
adjusted_rand_score,0.48711751298603706,0.4605842479575383,0.49664102146032335
adjusted_mutual_info_score,0.460641457690607,0.4399486244042179,0.46808707866269567
fowlkes_mallows_score,0.7901514810088209,0.7818410774009438,0.7932003503474798
cohen_kappa_score,0.6580515734457132,0.6350277111125525,0.6661753763379314
