metric,Mean,Min,Max
sse,722.8386320107332,687.59206391,789.9611366620377
quantization_error,1.7602694567383186,1.5558566177600544,2.6500407448161725
accuracy,0.8825396825396825,0.8142857142857143,0.9
NMI,0.6755771844147692,0.6192708506494603,0.7237968905012269
precision_score,0.006825396825396826,0.0,0.01904761904761905
recall_score,0.006825396825396826,0.0,0.01904761904761905
v_measure_score,0.6755771844147692,0.6192708506494599,0.7237968905012266
completeness_score,0.677825897501985,0.6210183965619501,0.7267941360690816
homogeneity_score,0.673351621555462,0.6175331123276163,0.7208242642457398
adjusted_rand_score,0.6875016010924269,0.561765622440055,0.7222905170126234
adjusted_mutual_info_score,0.6726926897070229,0.6158875065442883,0.7213389559439686
fowlkes_mallows_score,0.7914902833074737,0.7105782537480491,0.8142106673768045
cohen_kappa_score,-0.2705379787152917,-0.31171548117154835,-0.23564356435643585
